Price,Bed,Bath,Toilet,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
50000000,4,4,5,Detached duplex,ajah,sale,1,0,0,0,0,0,0,0,0
46200000,4,5,5,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
38000000,4,5,6,Semi detached duplex,ajah,sale,0,1,0,0,0,1,0,0,0
25000000,2,2,3,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
47500000,4,4,5,Terraced duplex,ajah,sale,0,1,1,0,0,0,0,0,1
45000000,3,3,4,Flat / apartment,ajah,sale,0,0,0,0,0,0,1,0,0
40000000,3,3,4,Semi detached duplex,ajah,sale,0,1,0,0,0,0,0,0,0
20000000,2,2,3,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
35000000,4,3,4,Detached bungalow,ajah,sale,0,0,0,0,0,0,0,0,0
70000000,4,4,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
40000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
95000000,5,5,6,Detached duplex,ajah,sale,1,1,0,0,0,0,1,0,1
45000000,4,4,5,Semi detached duplex,ajah,sale,1,0,0,0,0,1,0,0,0
35000000,3,3,4,Detached bungalow,ajah,sale,0,0,0,0,0,0,0,0,0
50000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,0,0,1,0,0
27000000,3,3,4,Detached bungalow,ajah,sale,0,0,0,0,0,0,0,0,0
17000000,2,2,3,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
75000000,5,6,6,Detached duplex,ajah,sale,1,1,0,0,0,1,1,0,1
75000000,5,6,0,Detached duplex,ajah,sale,1,1,0,0,0,1,1,0,1
60000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
36800000,4,4,5,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
55000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,1,0,1,0,0
45000000,4,5,4,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
42000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
20950000,4,4,5,Terraced duplex,ajah,sale,0,1,0,0,0,0,0,0,0
51450000,3,4,4,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
33000000,4,4,5,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
36500000,3,3,4,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
54000000,4,4,5,Detached duplex,ajah,sale,1,0,0,0,0,0,0,0,0
27000000,3,3,3,Semi detached bungalow,ajah,sale,0,0,0,0,0,0,1,0,0
18900000,1,2,2,Mini flat,ajah,sale,0,0,0,0,0,0,0,0,0
36750000,2,3,3,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
20000000,2,2,3,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
60000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
55000000,5,6,6,Detached duplex,ajah,sale,1,1,0,0,0,1,1,0,0
58000000,4,4,6,Detached duplex,ajah,sale,0,0,0,0,0,1,1,0,0
15000000,3,2,2,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
38000000,4,4,5,Semi detached duplex,ajah,sale,1,1,1,0,0,1,1,0,0
28000000,3,3,4,Flat / apartment,ajah,sale,0,1,0,0,0,0,0,0,0
48000000,4,5,6,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
63000000,4,6,6,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
60000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,0,1,1
57000000,4,5,6,Detached duplex,ajah,sale,0,0,0,0,0,1,0,0,0
50000000,7,6,8,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
70000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
55000000,5,5,5,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
50000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
42000000,3,3,4,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
40000000,6,6,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
42000000,4,5,5,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
27000000,3,2,3,Detached bungalow,ajah,sale,0,1,0,0,1,0,0,0,0
70000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,1,1,1,0,1
55650000,2,3,3,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
65000000,5,5,6,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
37000000,3,3,3,Massionette house,ajah,sale,0,0,0,0,0,0,0,0,0
40000000,5,5,6,Semi detached duplex,ajah,sale,0,1,1,0,0,0,1,0,0
31000000,4,4,5,Terraced duplex,ajah,sale,0,1,1,0,0,0,1,0,0
30000000,4,4,5,Detached bungalow,ajah,sale,0,1,1,1,0,0,0,0,0
50000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
8600000,2,2,3,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
60000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,1,0,0
42000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
33000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,1,1,0,0
11000000,3,3,4,Flat / apartment,ajah,sale,0,1,0,0,0,0,0,0,0
27500000,2,2,3,Terraced duplex,ajah,sale,0,1,0,0,0,0,1,0,0
58000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
36000000,3,4,4,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
34000000,3,3,4,Detached bungalow,ajah,sale,0,1,0,0,1,0,1,0,0
75000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,1
53000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
32500000,4,5,5,Terraced duplex,ajah,sale,0,1,0,0,0,0,1,0,0
75000000,5,5,6,Detached duplex,ajah,sale,1,0,0,0,0,0,0,0,1
55000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,1,1,0,0,0,1,1,0,0
69000000,5,6,7,Detached duplex,ajah,sale,0,1,0,0,1,0,1,0,0
50000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
50000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
65000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
68000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,0,1,1,0,0
35000000,4,4,5,Terraced duplex,ajah,sale,1,0,0,0,0,0,1,0,0
75000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
54000000,4,5,6,Detached duplex,ajah,sale,0,1,0,0,1,1,0,0,0
55000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
55000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
42500000,4,6,7,Semi detached duplex,ajah,sale,0,1,0,0,0,0,0,1,1
39500000,3,3,4,Terraced duplex,ajah,sale,0,1,1,0,0,0,1,1,1
60000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,1,0,0,0
40000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,1,0,0,0,0,0
9000000,2,2,3,Flat / apartment,ajah,sale,0,1,0,0,1,0,0,0,0
42000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,1,0,0,1,0,0
50000000,1,1,2,Self contain,ajah,sale,0,0,0,0,0,0,0,1,1
23500000,3,3,3,Flat / apartment,ajah,sale,0,0,1,1,0,1,1,1,0
58000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,0,1,1,0,0
75000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
80000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,1
55000000,4,5,6,Detached duplex,ajah,sale,0,1,0,0,1,1,0,0,0
35000000,4,5,5,Detached bungalow,ajah,sale,0,1,0,1,0,0,1,0,0
48000000,5,6,7,Detached duplex,ajah,sale,0,1,0,0,0,1,1,0,0
55000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,1
58000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,0,0,0
60000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
43000000,3,3,4,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
75000000,5,6,7,Detached duplex,ajah,sale,0,1,0,0,1,0,1,0,1
35000000,2,2,2,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
75000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,1,0,1,0,0
35000000,4,4,5,Detached bungalow,ajah,sale,0,1,0,0,1,0,0,0,0
35000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,1,0,0,0,0
55000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,1,0,0,0
85000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,0,0,0
27000000,2,2,2,Flat / apartment,ajah,sale,0,1,1,0,0,0,1,1,1
45000000,4,4,5,Terraced duplex,ajah,sale,0,1,0,0,0,1,0,0,1
70000000,6,6,7,Massionette house,ajah,sale,0,1,0,0,0,0,0,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
53000000,4,5,6,Detached duplex,ajah,sale,1,1,0,0,1,1,0,0,0
85000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,1,1,0,0
29000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,1,0,0,0,0
22000000,2,2,2,Flat / apartment,ajah,sale,1,1,1,1,0,0,0,0,0
49000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
42000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
40000000,4,4,5,Semi detached duplex,ajah,sale,1,0,0,0,0,0,0,0,0
45000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,1,0,0,0
75000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,1
50000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
30000000,3,3,4,Detached bungalow,ajah,sale,1,1,0,0,1,0,0,0,0
37000000,3,3,4,Detached bungalow,ajah,sale,0,1,0,0,1,0,0,0,0
13000000,1,1,2,Mini flat,ajah,sale,0,1,0,0,0,0,0,0,0
33000000,3,3,4,Detached bungalow,ajah,sale,0,1,0,0,1,0,0,0,0
48000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,0,0,0
50000000,4,5,6,Detached duplex,ajah,sale,1,1,0,0,1,1,0,0,0
63000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
50000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,0,0,0
55000000,4,5,6,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
40000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
50000000,4,4,4,Detached duplex,ajah,sale,1,0,0,0,0,0,1,0,0
55000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
40000000,5,5,6,Terraced duplex,ajah,sale,0,0,1,0,0,1,1,1,0
60000000,5,5,5,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
45000000,4,6,6,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
50000000,5,5,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
55000000,4,4,4,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
55000000,4,4,4,Detached duplex,ajah,sale,0,0,0,1,0,0,1,0,0
65000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
60000000,4,4,4,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
55000000,5,5,5,Detached duplex,ajah,sale,1,0,0,0,0,0,1,0,0
50000000,4,4,4,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
52000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
55000000,5,7,7,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
80000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
75000000,5,5,5,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,1
60000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
45000000,5,0,0,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
50000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
77000000,3,3,3,Flat / apartment,ajah,sale,1,1,0,0,0,0,0,0,0
60000000,4,6,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
55000000,4,4,5,Detached duplex,ajah,sale,1,1,0,0,0,0,0,0,0
30000000,3,4,4,Semi detached duplex,ajah,sale,1,1,1,1,0,0,1,0,0
55000000,5,5,6,Detached duplex,ajah,sale,0,1,0,0,0,0,0,0,0
90000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,1,1
75000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,1
60000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,1,0,0,0
32000000,2,4,4,Terraced duplex,ajah,sale,0,1,1,1,0,0,1,1,1
90000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
48000000,4,5,5,Semi detached duplex,ajah,sale,0,0,0,1,0,0,1,0,0
45000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
60000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
65000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
15000000,3,3,4,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
40000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,0,1,0,0,0
46000000,3,3,4,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
55000000,5,6,6,Detached duplex,ajah,sale,0,0,0,1,0,0,1,0,0
33000000,4,5,5,Terraced duplex,ajah,sale,0,1,0,0,0,1,0,0,0
27000000,2,3,3,Blocks of flats,ajah,sale,0,1,1,1,0,0,1,1,1
32500000,2,2,3,Terraced duplex,ajah,sale,0,1,0,0,0,0,0,1,1
39500000,4,4,5,Terraced duplex,ajah,sale,0,0,0,0,0,0,1,0,0
60000000,4,4,5,Detached duplex,ajah,sale,0,1,1,0,0,0,1,0,0
85000000,5,5,6,Semi detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
20000000,3,3,4,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
24500000,2,2,2,Mini flat,ajah,sale,0,0,0,0,0,0,0,0,0
13000000,1,1,1,Self contain,ajah,sale,0,1,1,0,0,0,0,0,0
38000000,4,4,4,Semi detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
31000000,3,3,3,Terraced duplex,ajah,sale,0,1,1,0,0,0,1,0,0
36000000,3,3,4,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
53000000,4,5,4,Detached duplex,ajah,sale,0,0,0,0,0,1,1,0,0
40000000,4,4,4,Semi detached duplex,ajah,sale,0,1,1,0,0,0,1,0,0
29500000,3,3,3,Terraced duplex,ajah,sale,0,1,1,0,0,0,1,0,0
31000000,3,4,4,Terraced duplex,ajah,sale,1,0,0,0,0,0,1,0,0
39500000,3,3,3,Terraced duplex,ajah,sale,1,1,0,0,1,1,1,1,1
14000000,3,3,4,Semi detached bungalow,ajah,sale,0,0,1,0,0,0,0,0,0
60000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,1,0,0,1,0,0
37000000,4,4,5,Terraced duplex,ajah,sale,0,0,1,0,0,0,0,0,1
42000000,4,4,4,Semi detached duplex,ajah,sale,0,1,0,0,0,0,1,0,0
22000000,2,2,2,Mini flat,ajah,sale,1,1,1,0,0,0,0,0,0
55000000,4,4,4,Detached duplex,ajah,sale,0,1,1,0,0,0,1,1,1
43000000,1,1,1,Self contain,ajah,sale,0,0,0,0,0,0,0,0,0
53000000,3,3,4,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
19000000,2,2,2,Mini flat,ajah,sale,0,1,1,0,0,0,0,0,0
17000000,2,2,2,Flat / apartment,ajah,sale,1,0,0,0,0,0,0,0,0
30000000,3,3,4,Semi detached duplex,ajah,sale,1,1,1,0,0,0,1,0,0
37000000,5,5,5,Terraced duplex,ajah,sale,0,0,1,0,0,1,0,0,0
27000000,3,3,3,Terraced duplex,ajah,sale,1,1,0,0,0,0,1,0,0
15500000,2,2,2,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
70000000,5,5,5,Detached duplex,ajah,sale,0,0,0,0,0,1,1,0,1
24000000,3,3,3,Mini flat,ajah,sale,0,1,1,0,0,0,0,0,0
27000000,2,2,2,Mini flat,ajah,sale,0,1,1,0,0,0,1,1,1
22000000,3,3,3,Flat / apartment,ajah,sale,1,0,0,0,0,0,0,0,0
38000000,3,4,4,Detached bungalow,ajah,sale,0,1,1,0,0,0,0,0,0
15000000,3,4,4,Semi detached bungalow,ajah,sale,0,1,1,0,0,0,0,0,0
35000000,4,4,5,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
18000000,4,4,5,Detached bungalow,ajah,sale,0,0,0,0,0,0,0,0,0
53000000,3,4,4,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
27000000,2,2,2,Blocks of flats,ajah,sale,0,0,0,0,0,0,0,0,0
35000000,4,4,4,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
35000000,3,3,4,Flat / apartment,ajah,sale,0,0,0,0,0,1,0,0,0
75000000,5,5,6,Flat / apartment,ajah,sale,0,0,0,0,0,0,1,0,0
26000000,3,3,5,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
35000000,4,4,5,Detached bungalow,ajah,sale,0,0,0,0,0,0,0,0,0
30000000,3,3,3,Detached bungalow,ajah,sale,0,0,0,0,0,0,0,0,0
48000000,3,3,4,Blocks of flats,ajah,sale,0,0,0,0,0,0,0,0,0
55000000,4,4,4,Detached duplex,ajah,sale,0,0,0,0,0,1,1,0,0
45000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,0,1,1,0,0
55000000,4,4,5,Detached duplex,ajah,sale,1,1,1,0,0,0,0,0,0
27000000,3,3,4,Detached bungalow,ajah,sale,0,0,0,1,0,1,0,0,0
35000000,4,5,5,Detached duplex,ajah,sale,0,0,1,1,0,0,1,0,0
45000000,5,5,6,Detached bungalow,ajah,sale,0,0,0,1,0,0,0,0,0
18000000,3,3,4,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
38000000,4,4,4,Semi detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
27000000,2,2,2,Blocks of flats,ajah,sale,0,0,0,0,0,0,0,0,0
60000000,4,4,5,Semi detached duplex,ajah,sale,0,0,1,0,0,1,1,1,1
38000000,4,4,4,Semi detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
43000000,3,4,5,Detached bungalow,ajah,sale,0,1,0,1,0,1,0,0,0
19000000,3,3,3,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
50000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
28000000,3,3,4,Terraced duplex,ajah,sale,0,0,0,1,0,0,0,0,0
35000000,3,3,3,Detached duplex,ajah,sale,0,0,1,0,0,1,1,1,0
35000000,3,4,4,Detached duplex,ajah,sale,0,0,0,1,0,1,0,0,0
75000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
75000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,1,1,0,1
27000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
60000000,5,5,6,Semi detached duplex,ajah,sale,0,0,0,0,0,1,0,0,0
30000000,4,4,5,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
8000000,3,3,3,Flat / apartment,ajah,sale,0,0,0,0,0,0,0,0,0
50000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
60000000,4,4,5,Detached duplex,ajah,sale,0,0,0,1,0,0,0,0,0
1700000,4,5,5,Detached duplex,ajah,sale,0,0,0,1,0,0,0,0,0
22000000,4,5,5,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
39500000,3,3,3,Terraced duplex,ajah,sale,0,1,1,0,0,0,1,1,1
38000000,4,5,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
